## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,Reliability,24.000000,24.000000,Results,0.347332,0.226692,2
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.652668,0.652668
Dist,1.000000,0.347332,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,Reliability,360.000000,360.000000,Results,0.000000,0.000000,2
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,1.000000,1.000000
Dist,1.000000,0.000000,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,Reliability,1080.000000,1080.000000,Results,0.000000,0.000000,2
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,1.000000,1.000000
Dist,1.000000,0.000000,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,Reliability,2520.000000,2520.000000,Results,0.000000,0.000000,2
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,1.000000,1.000000
Dist,1.000000,0.000000,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,Reliability,5400.000000,5400.000000,Results,0.000000,0.000000,2
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,1.000000,1.000000
Dist,1.000000,0.000000,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,Reliability,11160.000000,11160.000000,Results,0.000000,0.000000,2
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,1.000000,1.000000
Dist,1.000000,0.000000,1.000000

