## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,Reliability,24.000000,24.000000,Results,0.999400,0.000599,2
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.000600,0.000600
Dist,1.000000,0.999400,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,Reliability,360.000000,360.000000,Results,0.991040,0.008879,2
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.008960,0.008960
Dist,1.000000,0.991040,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,Reliability,1080.000000,1080.000000,Results,0.973358,0.025932,2
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.026642,0.026642
Dist,1.000000,0.973358,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,Reliability,2520.000000,2520.000000,Results,0.938798,0.057456,2
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.061202,0.061202
Dist,1.000000,0.938798,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,Reliability,5400.000000,5400.000000,Results,0.870162,0.112980,2
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.129838,0.129838
Dist,1.000000,0.870162,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,Reliability,11160.000000,11160.000000,Results,0.714476,0.204000,2
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.285524,0.285524
Dist,1.000000,0.714476,1.000000

